batch,filename,ne0,ne1,ne2,labels
1,msb_000001.msout,95903,0.729618905,0.951388945,1
1,msb_000001.msout,96567,1.095018976,1.064163279,1
1,msb_000001.msout,217125,1.247968377,1.073668957,1
1,msb_000001.msout,202642,1.082730473,0.787956475,1
1,msb_000001.msout,203000,0.755276355,1.216411803,1
1,msb_000001.msout,444059,1.126897357,0.890390808,1
1,msb_000001.msout,469577,1.221694744,0.830040713,1
1,msb_000001.msout,333744,0.741122137,1.164943982,1
1,msb_000001.msout,313113,1.977896,1.856071145,2
1,msb_000001.msout,144845,1.952831779,2.058168145,2
1,msb_000001.msout,348274,1.748309869,1.953153012,2
1,msb_000001.msout,317986,2.082667105,2.115367605,2
1,msb_000001.msout,430067,2.012778033,2.024902926,2
1,msb_000001.msout,347788,1.840019786,1.790245485,2
1,msb_000001.msout,119549,2.214883052,1.922003984,2
1,msb_000001.msout,42439,2.135843225,1.884557662,2
1,msb_000001.msout,229189,0.550609327,0.647775494,3
1,msb_000001.msout,197493,0.353358746,0.460752694,3
1,msb_000001.msout,36135,0.413847616,0.603909962,3
1,msb_000001.msout,48320,0.622917135,0.545842621,3
1,msb_000001.msout,320322,0.497933644,0.430631103,3
1,msb_000001.msout,420370,0.288496807,0.631755799,3
1,msb_000001.msout,89832,0.316990985,0.291087541,3
1,msb_000001.msout,145706,0.746367948,0.314916289,3
1,msb_000001.msout,267771,0.231097953,1.933292989,4
1,msb_000001.msout,7877,0.614500897,2.047344917,4
1,msb_000001.msout,3511,0.739087933,1.982637058,4
1,msb_000001.msout,132443,0.520865361,1.788628207,4
1,msb_000001.msout,250258,0.675068904,2.011743563,4
1,msb_000001.msout,497774,1.772986774,0.647615035,4
1,msb_000001.msout,334569,0.673413872,1.963207822,4
1,msb_000001.msout,395811,1.889212629,0.346551785,4
2,msb_000002.msout,66871,1.095302264,0.781396098,1
2,msb_000002.msout,202788,1.042951349,1.214573361,1
2,msb_000002.msout,109172,1.002676975,0.890419583,1
2,msb_000002.msout,295478,0.840977337,1.17748002,1
2,msb_000002.msout,285424,0.748311289,0.990371137,1
2,msb_000002.msout,472214,1.205141983,0.872421768,1
2,msb_000002.msout,475464,0.910127236,0.799465089,1
2,msb_000002.msout,99405,1.110941829,0.934591094,1
2,msb_000002.msout,351701,1.833696702,1.90255597,2
2,msb_000002.msout,109910,1.842849907,2.064165793,2
2,msb_000002.msout,169658,1.807316287,1.975041187,2
2,msb_000002.msout,375469,1.860030296,1.844138624,2
2,msb_000002.msout,367510,2.193445874,1.93155815,2
2,msb_000002.msout,28075,1.981291449,1.704042845,2
2,msb_000002.msout,281087,1.995780013,1.906703572,2
2,msb_000002.msout,36265,1.828708972,2.159593979,2
2,msb_000002.msout,302180,0.362322063,0.31382144,3
2,msb_000002.msout,185357,0.296989937,0.748168735,3
2,msb_000002.msout,2699,0.475507567,0.306310027,3
2,msb_000002.msout,152991,0.468263769,0.725267816,3
2,msb_000002.msout,115330,0.339550308,0.50226367,3
2,msb_000002.msout,372177,0.47857094,0.443650169,3
2,msb_000002.msout,268642,0.215433363,0.477641682,3
